"global_id";"ObjectName";"NameWinter";"PhotoWinter";"AdmArea";"District";"Address";"Email";"WebSite";"HelpPhone";"HelpPhoneExtension";"WorkingHoursWinter";"ClarificationOfWorkingHoursWinter";"HasEquipmentRental";"EquipmentRentalComments";"HasTechService";"TechServiceComments";"HasDressingRoom";"HasEatery";"HasToilet";"HasWifi";"HasCashMachine";"HasFirstAidPost";"HasMusic";"UsagePeriodWinter";"DimensionsWinter";"Lighting";"SurfaceTypeWinter";"Seats";"Paid";"PaidComments";"DisabilityFriendly";"ServicesWinter";"geoData";"geodata_center";
"407192830";"Фитнес-клуб «Мегаполис»";"Зал спортивный №3";"nested data";"Северный административный округ";"Савёловский район";"Вятская улица, дом 27, строение 12";"info@megapolisfit.ru";"megapolisfit.ru/?utm_campaign=maps&utm_medium=maps&utm_source=yandex";"(495) 775-88-89";"";"nested data";"";"нет";"";"нет";"";"да";"да";"да";"да";"да";"нет";"да";"01.01-31.12";"nested data";"освещение газоразрядными лампами";"специальное покрытие";"0";"платно";"";"частично приспособлен";"общая физическая подготовка";"{coordinates=[37.580412077, 55.797034412], type=Point}";"{coordinates=[37.580412077, 55.797034412], type=Point}";
"407193082";"Фитнес-клуб «Мегаполис»";"Зал спортивный №4";"nested data";"Северный административный округ";"Савёловский район";"Вятская улица, дом 27, строение 12";"info@megapolisfit.ru";"megapolisfit.ru/?utm_campaign=maps&utm_medium=maps&utm_source=yandex";"(495) 775-88-89";"";"nested data";"";"нет";"";"нет";"";"да";"да";"да";"да";"да";"нет";"да";"01.01-31.12";"nested data";"освещение газоразрядными лампами";"деревянное покрытие";"0";"платно";"";"частично приспособлен";"общая физическая подготовка";"{coordinates=[37.580581057, 55.797025346], type=Point}";"{coordinates=[37.580581057, 55.797025346], type=Point}";
"407193398";"Спортивный комплекс «Измайлово»";"Зал спортивный №9";"nested data";"Восточный административный округ";"район Северное Измайлово";"11-я Парковая улица, дом 49";"mgfso@mossport.ru";"mgfso.mossport.ru";"(499) 242-84-44";"";"nested data";"";"нет";"";"нет";"";"да";"нет";"да";"нет";"нет";"нет";"да";"01.01-31.12";"nested data";"смешанное освещение";"специальное покрытие";"0";"платно";"";"частично приспособлен";"общая физическая подготовка";"{coordinates=[37.803114509, 55.806217689], type=Point}";"{coordinates=[37.803114509, 55.806217689], type=Point}";
"407193656";"Спортивный комплекс «Измайлово»";"Зал спортивный №1 (бокс)";"nested data";"Восточный административный округ";"район Северное Измайлово";"11-я Парковая улица, дом 49";"mgfso@mossport.ru";"mgfso.mossport.ru";"(499) 242-84-44";"";"nested data";"";"нет";"";"нет";"";"да";"нет";"да";"нет";"нет";"нет";"да";"01.01-31.12";"nested data";"смешанное освещение";"специальное покрытие";"0";"платно";"";"частично приспособлен";"общая физическая подготовка";"{coordinates=[37.803392365, 55.806227613], type=Point}";"{coordinates=[37.803392365, 55.806227613], type=Point}";
"407193854";"Спортивный комплекс «Измайлово»";"Зал спортивный №3 (борьба)";"nested data";"Восточный административный округ";"район Северное Измайлово";"11-я Парковая улица, дом 49";"mgfso@mossport.ru";"mgfso.mossport.ru";"(499) 242-84-44";"";"nested data";"";"нет";"";"нет";"";"да";"нет";"да";"нет";"нет";"нет";"да";"01.01-31.12";"nested data";"смешанное освещение";"специальное покрытие";"50";"платно";"";"частично приспособлен";"общая физическая подготовка";"{coordinates=[37.803687408, 55.80623114], type=Point}";"{coordinates=[37.803687408, 55.80623114], type=Point}";
"407198188";"Досуговый центр «Талисман»";"Зал спортивный";"nested data";"Зеленоградский административный округ";"район Савёлки";"город Зеленоград, корпус 618";"mbutalisman@mail.ru";"gbutalisman.ru";"(499) 735-98-90";"";"nested data";"";"нет";"";"нет";"";"да";"нет";"да";"нет";"нет";"нет";"да";"01.01-31.12";"nested data";"смешанное освещение";"деревянное покрытие";"0";"бесплатно";"";"частично приспособлен";"общая физическая подготовка";"{coordinates=[37.235520709, 55.989205515], type=Point}";"{coordinates=[37.235520709, 55.989205515], type=Point}";
"407199296";"Досуговый центр «Спортивно-досуговый центр «Фаворит»";"Зал спортивный";"nested data";"Зеленоградский административный округ";"район Крюково";"город Зеленоград, корпус 1444";"mufavorit@mail.ru";"gbufavorit.ru/";"(499) 733-41-44";"";"nested data";"";"нет";"";"нет";"";"да";"нет";"да";"нет";"нет";"нет";"нет";"01.09-31.08";"nested data";"смешанное освещение";"деревянное покрытие";"0";"бесплатно";"";"частично приспособлен";"общая физическая подготовка";"{coordinates=[37.151623377, 55.986129853], type=Point}";"{coordinates=[37.151623377, 55.986129853], type=Point}";
"407199624";"Досуговый центр «Фаворит»";"Зал спортивный";"nested data";"Зеленоградский административный округ";"район Крюково";"город Зеленоград, корпус 1804Б";"mufavorit@mail.ru";"gbufavorit.ru/";"(499) 733-41-44";"";"nested data";"";"нет";"";"нет";"";"да";"нет";"да";"нет";"нет";"нет";"нет";"01.09-31.08";"nested data";"освещение газоразрядными лампами";"рулонное покрытие";"0";"бесплатно";"";"частично приспособлен";"общая физическая подготовка";"{coordinates=[37.165678557, 55.978802479], type=Point}";"{coordinates=[37.165678557, 55.978802479], type=Point}";
"407202217";"Физкультурно-оздоровительный комплекс Московской гандбольной академии";"Зал спортивный №2";"nested data";"Северо-Западный административный округ";"район Северное Тушино";"улица Вилиса Лациса, домовладение 20";"mga@mossport.ru";"mga.mossport.ru";"(499) 762-03-10";"";"nested data";"";"нет";"";"нет";"";"да";"нет";"да";"нет";"нет";"да";"да";"01.09-31.08";"nested data";"смешанное освещение";"специальное покрытие";"0";"платно";"";"приспособлен для лиц с нарушением ОДА";"общая физическая подготовка";"{coordinates=[37.419399766, 55.862472068], type=Point}";"{coordinates=[37.419399766, 55.862472068], type=Point}";
"407204283";"Спортивный комплекс «Эдельвейс»";"Зал спортивный №1, «Универсальный игровой»";"nested data";"Восточный административный округ";"район Гольяново";"Уральская улица, дом 19А";"mso@mos.ru";"mso.mossport.ru";"(495) 681-01-48";"";"nested data";"";"нет";"";"нет";"";"да";"нет";"да";"нет";"нет";"да";"да";"01.01-31.12";"nested data";"смешанное освещение";"специальное покрытие";"60";"платно";"";"приспособлен для всех групп инвалидов";"общая физическая подготовка";"{coordinates=[37.797383293, 55.821793385], type=Point}";"{coordinates=[37.797383293, 55.821793385], type=Point}";
"407204519";"Спортивный комплекс «Эдельвейс»";"Зал спортивный №2, «Фитнес»";"nested data";"Восточный административный округ";"район Гольяново";"Уральская улица, дом 19А";"mso@mos.ru";"mso.mossport.ru";"(495) 681-01-48";"";"nested data";"";"нет";"";"нет";"";"да";"нет";"да";"нет";"нет";"да";"да";"01.01-31.12";"nested data";"смешанное освещение";"ламинированное покрытие";"0";"платно";"";"приспособлен для всех групп инвалидов";"общая физическая подготовка";"{coordinates=[37.797261477, 55.821807128], type=Point}";"{coordinates=[37.797261477, 55.821807128], type=Point}";
"407205054";"Спортивный комплекс «Одиссей»";"Зал спортивный, «Универсальный игровой»";"nested data";"Восточный административный округ";"район Ивановское";"улица Молостовых, дом 10Д";"mso@mos.ru";"mso.mossport.ru";"(495) 681-01-48";"";"nested data";"";"нет";"";"нет";"";"да";"нет";"да";"нет";"нет";"да";"да";"01.01-31.12";"nested data";"смешанное освещение";"специальное покрытие";"0";"платно";"";"частично приспособлен";"общая физическая подготовка";"{coordinates=[37.828433583, 55.759080282], type=Point}";"{coordinates=[37.828433583, 55.759080282], type=Point}";
"407205813";"Спортивный комплекс «Олимпия»";"Зал спортивный";"nested data";"Восточный административный округ";"район Новогиреево";"Фрязевская улица, дом 13А";"mso@mos.ru";"mso.mossport.ru";"(495) 681-01-48";"";"nested data";"";"нет";"";"нет";"";"да";"нет";"да";"нет";"нет";"да";"да";"01.01-31.12";"nested data";"смешанное освещение";"специальное покрытие";"0";"платно";"";"частично приспособлен";"общая физическая подготовка";"{coordinates=[37.82602449, 55.746807596], type=Point}";"{coordinates=[37.82602449, 55.746807596], type=Point}";
"407206571";"Спортивный комплекс «Вешняки»";"Зал спортивный №2, «Танцевальный»";"nested data";"Восточный административный округ";"район Вешняки";"Косинская улица, дом 12Б";"mso@mos.ru";"mso.mossport.ru";"(495) 681-01-48";"";"nested data";"";"нет";"";"нет";"";"да";"нет";"да";"нет";"нет";"да";"да";"01.01-31.12";"nested data";"смешанное освещение";"ламинированное покрытие";"0";"платно";"";"приспособлен для всех групп инвалидов";"общая физическая подготовка";"{coordinates=[37.833680997, 55.724690425], type=Point}";"{coordinates=[37.833680997, 55.724690425], type=Point}";
"407206830";"Спортивный комплекс «Вешняки»";"Зал спортивный №1, «Танцевальный»";"nested data";"Восточный административный округ";"район Вешняки";"Косинская улица, дом 12Б";"mso@mos.ru";"mso.mossport.ru";"(495) 681-01-48";"";"nested data";"";"нет";"";"нет";"";"да";"нет";"да";"нет";"нет";"да";"да";"01.01-31.12";"nested data";"освещение газоразрядными лампами";"ламинированное покрытие";"0";"платно";"";"приспособлен для всех групп инвалидов";"общая физическая подготовка";"{coordinates=[37.833709321, 55.724699944], type=Point}";"{coordinates=[37.833709321, 55.724699944], type=Point}";
"407207332";"Спортивный комплекс «Вешняки»";"Зал спортивный №3, «Универсальный»";"nested data";"Восточный административный округ";"район Вешняки";"Косинская улица, дом 12Б";"mso@mos.ru";"mso.mossport.ru";"(495) 681-01-48";"";"nested data";"";"нет";"";"нет";"";"да";"нет";"да";"нет";"нет";"да";"да";"01.01-31.12";"nested data";"смешанное освещение";"специальное покрытие";"0";"платно";"";"приспособлен для всех групп инвалидов";"общая физическая подготовка";"{coordinates=[37.833657008, 55.724706623], type=Point}";"{coordinates=[37.833657008, 55.724706623], type=Point}";
"407207553";"Спортивный комплекс «Вешняки»";"Зал спортивный №4, «Единоборств»";"nested data";"Восточный административный округ";"район Вешняки";"Косинская улица, дом 12Б";"mso@mos.ru";"mso.mossport.ru";"(495) 681-01-48";"";"nested data";"";"нет";"";"нет";"";"да";"нет";"да";"нет";"нет";"да";"да";"01.01-31.12";"nested data";"смешанное освещение";"специальное покрытие";"0";"платно";"";"приспособлен для всех групп инвалидов";"общая физическая подготовка";"{coordinates=[37.833646962, 55.72469599], type=Point}";"{coordinates=[37.833646962, 55.72469599], type=Point}";
"407208079";"Спортивный комплекс «Альбатрос»";"Зал спортивный";"nested data";"Восточный административный округ";"район Косино-Ухтомский";"Лухмановская улица, дом 19А";"mso@mos.ru";"mso.mossport.ru";"(495) 681-01-48";"";"nested data";"";"нет";"";"нет";"";"да";"нет";"да";"нет";"нет";"да";"да";"01.01-31.12";"nested data";"смешанное освещение";"деревянное покрытие";"0";"платно";"";"приспособлен для всех групп инвалидов";"общая физическая подготовка";"{coordinates=[37.898094554, 55.723127564], type=Point}";"{coordinates=[37.898094554, 55.723127564], type=Point}";
"407215989";"Спортивный комплекс «Есенинский (физкультурно-оздоровительный комплекс с бассейном)";"Зал спортивный";"nested data";"Юго-Восточный административный округ";"район Кузьминки";"Есенинский бульвар, дом 9, корпус 2, строение 1";"vostok@mossport.ru";"vostok.mossport.ru";"(499) 175-54-12";"";"nested data";"";"нет";"";"нет";"";"да";"нет";"да";"нет";"нет";"да";"да";"01.01-31.12";"nested data";"смешанное освещение";"деревянное покрытие";"0";"платно";"400 рублей разовое посещение";"частично приспособлен";"общая физическая подготовка";"{coordinates=[37.781258877, 55.700651902], type=Point}";"{coordinates=[37.781258877, 55.700651902], type=Point}";
"407216785";"Спортивный комплекс «Центральный» на 3-ей Фрунзенской ул.";"Зал спортивный, «Верхний универсальный»";"nested data";"Центральный административный округ";"район Хамовники";"3-я Фрунзенская улица, дом 5";"mgfso@mossport.ru";"mgfso.mossport.ru";"(499) 242-84-44";"";"nested data";"";"нет";"";"нет";"";"да";"да";"да";"нет";"нет";"нет";"нет";"01.01-31.12";"nested data";"смешанное освещение";"деревянное покрытие";"0";"платно";"";"частично приспособлен";"общая физическая подготовка";"{coordinates=[37.578630432, 55.720174703], type=Point}";"{coordinates=[37.578630432, 55.720174703], type=Point}";
"407217050";"Спортивный комплекс «Центральный» на 3-ей Фрунзенской ул.";"Зал спортивный, «Нижний универсальный»";"nested data";"Центральный административный округ";"район Хамовники";"3-я Фрунзенская улица, дом 5";"mgfso@mossport.ru";"mgfso.mossport.ru";"(499) 242-84-44";"";"nested data";"";"нет";"";"нет";"";"да";"да";"да";"нет";"нет";"нет";"нет";"01.01-31.12";"nested data";"смешанное освещение";"специальное покрытие";"0";"платно";"";"частично приспособлен";"общая физическая подготовка";"{coordinates=[37.579022034, 55.720008169], type=Point}";"{coordinates=[37.579022034, 55.720008169], type=Point}";
"407218303";"Спортивный комплекс «Меридиан», к. 3";"Зал спортивный";"nested data";"Юго-Восточный административный округ";"Нижегородский район";"Рязанский проспект, дом 7, корпус 3";"mso@mos.ru";"mso.mossport.ru";"(495) 681-01-48";"";"nested data";"";"нет";"";"нет";"";"да";"нет";"да";"нет";"нет";"да";"да";"01.09-31.08";"nested data";"смешанное освещение";"рулонное покрытие";"0";"платно";"";"частично приспособлен";"общая физическая подготовка";"{coordinates=[37.73781395, 55.731902126], type=Point}";"{coordinates=[37.73781395, 55.731902126], type=Point}";
"407221809";"Фитнес-клуб «Х-Фит Монарх»";"Зал спортивный №1";"nested data";"Северный административный округ";"район Беговой";"Ленинградский проспект, дом 31А, строение 1";"monsport-manager@xfit.ru";"www.xfit.ru/club/moskva/monarch";"(495) 859-15-89";"";"nested data";"";"нет";"";"нет";"";"да";"да";"да";"да";"нет";"да";"да";"01.01-31.12";"nested data";"смешанное освещение";"специальное покрытие";"0";"платно";"Абонемент от 45000 рубл. до 70000 рубл.";"частично приспособлен";"общая физическая подготовка";"{coordinates=[37.559867106, 55.783533384], type=Point}";"{coordinates=[37.559867106, 55.783533384], type=Point}";
"407221963";"Фитнес-клуб «Х-Фит Монарх»";"Зал спортивный №2";"nested data";"Северный административный округ";"район Беговой";"Ленинградский проспект, дом 31А, строение 1";"monsport-manager@xfit.ru";"www.xfit.ru/club/moskva/monarch";"(495) 859-15-89";"";"nested data";"";"нет";"";"нет";"";"да";"да";"да";"да";"нет";"да";"да";"01.01-31.12";"nested data";"смешанное освещение";"специальное покрытие";"0";"платно";"Абонемент от 45000 рубл. до 70000 рубл.";"не приспособлен";"общая физическая подготовка";"{coordinates=[37.559977076, 55.783462345], type=Point}";"{coordinates=[37.559977076, 55.783462345], type=Point}";
"407222214";"Фитнес-клуб «Х-Фит Монарх»";"Зал спортивный №3";"nested data";"Северный административный округ";"район Беговой";"Ленинградский проспект, дом 31А, строение 1";"monsport-manager@xfit.ru";"www.xfit.ru/club/moskva/monarch";"(495) 859-15-89";"";"nested data";"";"нет";"";"нет";"";"да";"да";"да";"да";"нет";"да";"да";"01.01-31.12";"nested data";"без дополнительного освещения";"специальное покрытие";"0";"платно";"Абонемент от 45000 рубл. до 70000 рубл.";"частично приспособлен";"общая физическая подготовка";"{coordinates=[37.559883199, 55.78339584], type=Point}";"{coordinates=[37.559883199, 55.78339584], type=Point}";
"407222526";"Фитнес-клуб «Х-Фит Монарх»";"Зал спортивный №4";"nested data";"Северный административный округ";"район Беговой";"Ленинградский проспект, дом 31А, строение 1";"monsport-manager@xfit.ru";"www.xfit.ru/club/moskva/monarch";"(495) 859-15-89";"";"nested data";"";"нет";"";"нет";"";"да";"да";"да";"да";"нет";"да";"да";"01.01-31.12";"nested data";"смешанное освещение";"деревянное покрытие";"0";"платно";"Абонемент от 45000 рубл. до 70000 рубл.";"частично приспособлен";"общая физическая подготовка";"{coordinates=[37.559971712, 55.783330846], type=Point}";"{coordinates=[37.559971712, 55.783330846], type=Point}";
"407222771";"Фитнес-клуб «Х-Фит Монарх»";"Зал спортивный №5";"nested data";"Северный административный округ";"район Беговой";"Ленинградский проспект, дом 31А, строение 1";"monsport-manager@xfit.ru";"www.xfit.ru/club/moskva/monarch";"(495) 859-15-89";"";"nested data";"";"нет";"";"нет";"";"да";"да";"да";"да";"нет";"да";"да";"01.01-31.12";"nested data";"смешанное освещение";"специальное покрытие";"0";"платно";"Абонемент от 45000 рубл. до 70000 рубл.";"не приспособлен";"общая физическая подготовка";"{coordinates=[37.559749088, 55.783550011], type=Point}";"{coordinates=[37.559749088, 55.783550011], type=Point}";
"407223707";"Фитнес-клуб «Х-Фит Правда»";"Зал спортивный №2";"nested data";"Северный административный округ";"район Беговой";"улица Правды, дом 21, строение 2";"pravda@fitness.ru";"pravda.xfit.ru/?utm_source=google_carty&utm_campaign=google_carty_pravda";"(495) 126-94-26";"";"nested data";"";"нет";"";"нет";"";"да";"да";"да";"нет";"да";"да";"да";"01.01-31.12";"nested data";"освещение светодиодными лампами";"специальное покрытие";"0";"платно";"Абонемент от 12500 рубл. до 45000 рубл.";"не приспособлен";"общая физическая подготовка";"{coordinates=[37.580206055, 55.788315615], type=Point}";"{coordinates=[37.580206055, 55.788315615], type=Point}";
"407232861";"Досуговый центр «На ул. Черняховского»";"Зал спортивный №1";"nested data";"Северный административный округ";"район Аэропорт";"улица Черняховского, дом 17, корпус 1";"mso@mos.ru";"mso.mossport.ru/";"(495) 681-01-48";"";"nested data";"";"нет";"";"нет";"";"нет";"нет";"да";"нет";"нет";"нет";"нет";"01.09-31.08";"nested data";"смешанное освещение";"рулонное покрытие";"0";"бесплатно";"";"частично приспособлен";"общая физическая подготовка";"{coordinates=[37.538523489, 55.807540914], type=Point}";"{coordinates=[37.538523489, 55.807540914], type=Point}";
"407235660";"Спортивный комплекс «Белые медведи»";"Зал спортивный №1, «Игровой»";"nested data";"Северный административный округ";"район Ховрино";"Петрозаводская улица, дом 28, строение 1";"mso@mos.ru";"mso.mossport.ru";"(495) 681-01-48";"";"nested data";"";"нет";"";"нет";"";"да";"нет";"да";"нет";"нет";"да";"нет";"01.09-31.08";"nested data";"смешанное освещение";"деревянное покрытие";"0";"платно";"";"частично приспособлен";"общая физическая подготовка";"{coordinates=[37.488178006, 55.870020997], type=Point}";"{coordinates=[37.488178006, 55.870020997], type=Point}";
"407235874";"Спортивный комплекс «Белые медведи»";"Зал спортивный №2, «Хореографии»";"nested data";"Северный административный округ";"район Ховрино";"Петрозаводская улица, дом 28, строение 1";"mso@mos.ru";"mso.mossport.ru";"(495) 681-01-48";"";"nested data";"";"нет";"";"нет";"";"да";"нет";"да";"нет";"нет";"да";"нет";"01.09-31.08";"nested data";"смешанное освещение";"деревянное покрытие";"0";"платно";"";"частично приспособлен";"общая физическая подготовка";"{coordinates=[37.487958065, 55.869965198], type=Point}";"{coordinates=[37.487958065, 55.869965198], type=Point}";
"407236093";"Спортивный комплекс «Белые медведи»";"Зал спортивный №3";"nested data";"Северный административный округ";"район Ховрино";"Петрозаводская улица, дом 28, строение 1";"mso@mos.ru";"mso.mossport.ru";"(495) 681-01-48";"";"nested data";"";"нет";"";"нет";"";"да";"нет";"да";"нет";"нет";"да";"нет";"01.09-31.08";"nested data";"смешанное освещение";"рулонное покрытие";"0";"платно";"";"частично приспособлен";"общая физическая подготовка";"{coordinates=[37.488124361, 55.86978724], type=Point}";"{coordinates=[37.488124361, 55.86978724], type=Point}";
"407237180";"Физкультурно-оздоровительный комплекс Московской волейбольной академии на ул. Алабяна";"Зал спортивный №1";"nested data";"Северный административный округ";"район Сокол";"улица Алабяна, дом 13, корпус 1";"mva@mossport.ru";"mva.mossport.ru";"(499) 195-99-95";"";"nested data";"";"нет";"";"нет";"";"да";"нет";"да";"да";"нет";"да";"да";"01.01-31.12";"nested data";"смешанное освещение";"специальное покрытие";"270";"платно";"";"не приспособлен";"общая физическая подготовка";"{coordinates=[37.505978527, 55.799992932], type=Point}";"{coordinates=[37.505978527, 55.799992932], type=Point}";
"407237799";"Физкультурно-оздоровительный комплекс Московской волейбольной академии на ул. Алабяна";"Зал спортивный №4";"nested data";"Северный административный округ";"район Сокол";"улица Алабяна, дом 13, корпус 1";"mva@mossport.ru";"mva.mossport.ru";"(499) 195-99-95";"";"nested data";"";"нет";"";"нет";"";"да";"нет";"да";"да";"нет";"да";"да";"01.01-31.12";"nested data";"смешанное освещение";"специальное покрытие";"0";"платно";"";"не приспособлен";"общая физическая подготовка";"{coordinates=[37.506002158, 55.799737105], type=Point}";"{coordinates=[37.506002158, 55.799737105], type=Point}";
"407237968";"Физкультурно-оздоровительный комплекс Московской волейбольной академии на ул. Алабяна";"Зал спортивный №7";"nested data";"Северный административный округ";"район Сокол";"улица Алабяна, дом 13, корпус 1";"mva@mossport.ru";"mva.mossport.ru";"(499) 195-99-95";"";"nested data";"";"нет";"";"нет";"";"да";"нет";"да";"да";"нет";"да";"да";"01.01-31.12";"nested data";"освещение газоразрядными лампами";"специальное покрытие";"0";"платно";"";"не приспособлен";"общая физическая подготовка";"{coordinates=[37.506272773, 55.799858961], type=Point}";"{coordinates=[37.506272773, 55.799858961], type=Point}";
